City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,Hong Kong,22.2855,114.1577,22.03,86,10,4.02,HK,2023-02-07
77,Uberlândia,-18.9186,-48.2772,26.55,63,67,1.16,BR,2023-02-07
78,Srednekolymsk,67.45,153.6833,-33.69,97,100,2.44,RU,2023-02-07
79,Aripuanã,-9.1667,-60.6333,23.89,88,100,1.3,BR,2023-02-07
80,Anadyr,64.75,177.4833,-28.62,75,40,5.0,RU,2023-02-07
81,Acapulco de Juárez,16.8634,-99.8901,23.9,78,20,3.09,MX,2023-02-07
82,Östersund,63.1792,14.6357,2.25,80,40,5.66,SE,2023-02-07
83,Lebu,-37.6167,-73.65,17.73,65,0,6.99,CL,2023-02-07
84,Diego de Almagro,-26.3667,-70.05,25.08,36,2,2.99,CL,2023-02-07
85,Zhalantun,48.0,122.7167,-17.35,88,12,2.51,CN,2023-02-07
86,Alegrete,-29.7831,-55.7919,33.12,20,0,3.12,BR,2023-02-07
87,Severo-Kuril'sk,50.6789,156.125,-4.66,63,78,6.76,RU,2023-02-07
88,Mataura,-46.1927,168.8643,11.38,64,54,1.59,NZ,2023-02-07
89,St Albans,51.75,-0.3333,9.01,75,6,2.06,GB,2023-02-07
90,Hilo,19.7297,-155.09,22.01,85,100,2.57,US,2023-02-07
91,Yulara,-25.2406,130.9889,29.14,18,0,3.73,AU,2023-02-07
92,Tema,5.667000000000001,-0.0166,30.28,61,82,5.16,GH,2023-02-07
93,Lufilufi,-13.8745,-171.5986,24.88,77,83,5.08,WS,2023-02-07
94,Kyra,49.5776,111.9753,-17.54,88,12,2.34,RU,2023-02-07
95,Saint-François,46.4154,3.9054,8.69,56,0,2.57,FR,2023-02-07
96,Nikolskoye,59.7035,30.7861,-1.06,92,91,3.3,RU,2023-02-07
97,Severo-Yeniseyskiy,60.3725,93.0408,-13.62,97,100,1.09,RU,2023-02-07
98,Kidal,18.4411,1.4078,33.58,8,100,6.23,ML,2023-02-07
99,Faya,18.3851,42.4509,22.06,50,42,4.54,SA,2023-02-07
100,Tasiilaq,65.6145,-37.6368,-13.91,62,78,5.52,GL,2023-02-07
101,Hobyo,5.3505,48.5268,26.04,71,31,7.49,SO,2023-02-07
102,Alofi,-19.0595,-169.9187,23.94,100,100,2.57,NU,2023-02-07
103,Thompson,55.7435,-97.8558,-28.91,76,20,1.54,CA,2023-02-07
104,Chihuahua,28.5,-106.0,3.46,41,7,2.56,MX,2023-02-07
105,Carnarvon,-24.8667,113.6333,25.13,72,1,9.85,AU,2023-02-07
106,Aswān,24.0934,32.907,18.91,21,91,5.82,EG,2023-02-07
107,Erzin,36.9559,36.2,7.01,49,62,5.87,TR,2023-02-07
108,Usinsk,65.9939,57.5281,-16.17,94,100,10.04,RU,2023-02-07
109,Saint-Philippe,-21.3585,55.7679,28.77,82,47,5.87,RE,2023-02-07
110,Maridi,4.9158,29.4742,35.55,14,71,3.34,SS,2023-02-07
111,Ambulu,-8.345,113.6058,24.44,94,100,2.22,ID,2023-02-07
112,Longyearbyen,78.2186,15.6401,-5.09,74,100,15.95,SJ,2023-02-07
113,Faanui,-16.4833,-151.75,26.38,80,29,5.98,PF,2023-02-07
114,San Patricio,28.017,-97.5169,21.58,87,99,7.59,US,2023-02-07
115,Beyneu,45.3167,55.2,2.83,76,100,12.64,KZ,2023-02-07
116,Matane,48.8286,-67.52199999999999,-13.41,85,22,1.89,CA,2023-02-07
117,Port Elizabeth,-33.918,25.5701,25.17,81,20,6.69,ZA,2023-02-07
118,La Sarre,48.8002,-79.1996,-5.72,88,100,7.66,CA,2023-02-07
119,Hay River,60.8156,-115.7999,-17.01,78,100,6.69,CA,2023-02-07
120,Saint Paul Harbor,57.79,-152.4072,-1.27,80,0,7.2,US,2023-02-07
